"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Abandoned Vehicle","Parking Enforcement"," ","SYDNEY AVE & BLISS RD","WARD 9","Phone","JAN 25, 2024 02:47:11 PM"
"Abandoned Vehicle","Parking Enforcement","6##","ASSUMPTION","WARD 4","Phone","MAR 08, 2024 02:50:24 PM"
"Abandoned Vehicle","Parking Enforcement","11##","MOY","WARD 4","Phone","MAR 05, 2024 03:11:22 PM"
"Abandoned Vehicle","Parking Enforcement","27##","BUCKINGHAM","WARD 8","Phone","FEB 16, 2024 08:25:04 AM"
"Abandoned Vehicle","Parking Enforcement","5##","CAPITOL","WARD 10","Phone","MAR 11, 2024 12:03:08 PM"
"Abandoned Vehicle","Parking Enforcement","22##","WOODLAWN","WARD 4","Citizen Mobile Apps","MAR 11, 2024 03:25:27 PM"
"Abandoned Vehicle","Parking Enforcement","1##","CAMERON","WARD 2","Phone","FEB 15, 2024 02:21:54 PM"
"Abandoned Vehicle","Parking Enforcement","27##","BERNARD","WARD 5","Phone","JAN 05, 2024 11:13:23 AM"
"Abandoned Vehicle","Parking Enforcement","4##","ERIE","WARD 3","Phone","JAN 09, 2024 12:07:04 PM"
"Abandoned Vehicle","Parking Enforcement","26##","CURRY","WARD 10","Phone","FEB 13, 2024 11:40:54 AM"
"Abandoned Vehicle","Parking Enforcement","119##","THISTLEDOWN","WARD 7","Phone","FEB 15, 2024 01:59:36 PM"
"Abandoned Vehicle","Parking Enforcement","46##","BUNKER","WARD 9","Phone","FEB 13, 2024 09:53:40 AM"
"Abandoned Vehicle","Parking Enforcement","22##","GATWICK","WARD 7","Phone","FEB 06, 2024 10:00:55 AM"
"Abandoned Vehicle","Parking Enforcement","5##","CAPITOL","WARD 10","Phone","MAR 14, 2024 03:35:34 PM"
"Abandoned Vehicle","Parking Enforcement","27##","CURRY","WARD 10","Phone","FEB 13, 2024 11:40:55 AM"
"Abandoned Vehicle","Parking Enforcement","119##","THISTLEDOWN","WARD 7","Phone","FEB 07, 2024 01:59:11 PM"
"Abandoned Vehicle","Parking Enforcement","11##","PIERRE","WARD 4","E-Mail","FEB 23, 2024 08:32:41 AM"
"Abandoned Vehicle","Parking Enforcement","11##","LANGLOIS","WARD 4","Phone","MAR 01, 2024 12:37:59 PM"
"Abandoned Vehicle","Parking Enforcement","23##","TIMBERCREST","WARD 7","Citizen Mobile Apps","JAN 22, 2024 11:51:28 AM"
"Abandoned Vehicle","Parking Enforcement","119##","MAITLAND","WARD 7","Phone","MAR 12, 2024 11:23:43 AM"
"Abandoned Vehicle","Parking Enforcement","119##","MAITLAND","WARD 7","Phone","MAR 14, 2024 11:21:42 AM"
"Abandoned Vehicle","Parking Enforcement","10##","PELISSIER","WARD 3","Phone","FEB 02, 2024 03:59:46 PM"
"Abandoned Vehicle","Parking Enforcement","46##","BUNKER","WARD 9","Phone","FEB 13, 2024 09:51:40 AM"
"Abandoned Vehicle","Parking Enforcement","13##","WYANDOTTE","WARD 2","Phone","FEB 14, 2024 10:07:12 AM"
"Abandoned Vehicle","Parking Enforcement","11##","LANGLOIS","WARD 4","Phone","FEB 21, 2024 02:31:59 PM"
