"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Building Condition Complaint","Building Services","4##","PRINCE","WARD 2","Phone","JAN 16, 2024 03:38:48 PM"
"Building Condition Complaint","Building Services","26##","MEADOWBROOK","WARD 8","Phone","JAN 17, 2024 10:43:30 AM"
"Building Condition Complaint","Building Services","24##","EDNA","WARD 5","E-Mail","JAN 10, 2024 01:40:45 PM"
"Building Condition Complaint","Building Services","7##","ROSEDALE","WARD 2","Citizen Mobile Apps","JAN 09, 2024 09:29:17 AM"
"Building Condition Complaint","Building Services","6##","VANIER","WARD 10","Phone","JAN 09, 2024 01:07:33 PM"
"Building Condition Complaint","Building Services","16##","MOY","WARD 4","Phone","JAN 23, 2024 09:21:46 AM"
"Building Condition Complaint","Building Services","16##","HURON CHURCH","WARD 10","Phone","FEB 12, 2024 09:49:59 AM"
"Building Condition Complaint","Building Services","8##","VICTORIA","WARD 3","Phone","FEB 16, 2024 03:26:11 PM"
"Building Condition Complaint","Building Services","9##","ELLROSE","WARD 5","Phone","FEB 28, 2024 12:51:20 PM"
"Building Condition Complaint","Building Services","15##","BUCKINGHAM","WARD 8","Phone","FEB 28, 2024 11:09:58 AM"
"Building Condition Complaint","Building Services","6##","PIERRE","WARD 4","Citizen Mobile Apps","FEB 28, 2024 11:18:05 AM"
"Building Condition Complaint","Building Services","7##","JANETTE","WARD 3","Citizen Mobile Apps","FEB 12, 2024 11:17:01 AM"
"Building Condition Complaint","Building Services","10##","GLADSTONE","WARD 4","Phone","MAR 04, 2024 11:43:22 AM"
"Building Condition Complaint","Building Services","10##","GLADSTONE","WARD 4","Phone","MAR 04, 2024 11:45:25 AM"
"Building Condition Complaint","Building Services","2##","PARENT","WARD 4","Web Intake","MAR 04, 2024 01:22:03 PM"
"Building Condition Complaint","Building Services","11##","ALBERT","WARD 5","Phone","JAN 19, 2024 12:30:48 PM"
"Building Condition Complaint","Building Services","30##","WOODLAND","WARD 1","E-Mail","JAN 08, 2024 08:42:38 AM"
"Building Condition Complaint","Building Services","12##","HIGH","WARD 5","Phone","JAN 15, 2024 02:01:08 PM"
"Building Condition Complaint","Building Services","24##","MCDOUGALL","WARD 3","Citizen Mobile Apps","FEB 12, 2024 07:52:33 AM"
"Building Condition Complaint","Building Services","89##","WYANDOTTE","WARD 6","Phone","FEB 12, 2024 09:58:03 AM"
"Building Condition Complaint","Building Services","32##","SANDWICH","WARD 2","Phone","MAR 08, 2024 11:38:09 AM"
"Building Condition Complaint","Building Services","7##","UNIVERSITY","WARD 4","Citizen Mobile Apps","MAR 12, 2024 08:05:57 AM"
"Building Condition Complaint","Building Services","2##","GILES","WARD 3","Phone","MAR 12, 2024 02:55:21 PM"
"Building Condition Complaint","Building Services","8##","FORD","WARD 6","Phone","MAR 04, 2024 03:28:07 PM"
"Building Condition Complaint","Building Services","12##","AIRE","WARD 6","Citizen Mobile Apps","FEB 05, 2024 09:15:06 AM"
"Building Condition Complaint","Building Services","0##","UNIVERSITY","WARD 3","Citizen Mobile Apps","MAR 11, 2024 08:56:55 AM"
"Building Condition Complaint","Building Services","3##","LOUIS","WARD 4","Citizen Mobile Apps","MAR 12, 2024 08:09:53 AM"
"Building Condition Complaint","Building Services","6##","WYANDOTTE","WARD 3","Phone","MAR 12, 2024 08:50:25 AM"
"Building Condition Complaint","Building Services","2##","CURRY","WARD 2","E-Mail","FEB 05, 2024 09:45:26 AM"
"Building Condition Complaint","Building Services","9##","OUELLETTE","WARD 3","Phone","FEB 02, 2024 03:21:22 PM"
"Building Condition Complaint","Building Services","5##","LANGLOIS","WARD 4","Phone","FEB 02, 2024 09:25:05 AM"
"Building Condition Complaint","Building Services","6##","RANDOLPH","WARD 2","Phone","FEB 02, 2024 03:47:40 PM"
"Building Condition Complaint","Building Services","33##","RANKIN","WARD 1","Phone","FEB 27, 2024 12:51:43 PM"
"Building Condition Complaint","Building Services","31##","MEADOWBROOK","WARD 8","Phone","FEB 29, 2024 01:16:51 PM"
"Building Condition Complaint","Building Services","12##","GEORGE","WARD 5","Citizen Mobile Apps","JAN 24, 2024 08:59:46 AM"
"Building Condition Complaint","Building Services","13##","GEORGE","WARD 5","Phone","FEB 29, 2024 01:43:10 PM"
"Building Condition Complaint","Building Services","8##","OUELLETTE","WARD 3","Citizen Mobile Apps","JAN 21, 2024 06:22:55 PM"
"Building Condition Complaint","Building Services","10##","RAYMO","WARD 6","Phone","JAN 15, 2024 09:06:55 AM"
"Building Condition Complaint","Building Services","8##","VICTORIA","WARD 3","Phone","FEB 07, 2024 11:37:32 AM"
"Building Condition Complaint","Building Services","10##","FRANK","WARD 6","Phone","FEB 07, 2024 12:07:58 PM"
"Building Condition Complaint","Building Services","46##","TECUMSEH","WARD 5","Phone","MAR 12, 2024 12:54:25 PM"
"Building Condition Complaint","Building Services","12##","OTTAWA","WARD 4","Phone","MAR 13, 2024 02:07:58 PM"
"Building Condition Complaint","Building Services","38##","SEMINOLE","WARD 5","Phone","FEB 07, 2024 02:49:51 PM"
"Building Condition Complaint","Building Services","7##","OUELLETTE","WARD 3","Phone","MAR 04, 2024 04:00:27 PM"
"Building Condition Complaint","Building Services","7##","PELISSIER","WARD 3","Phone","JAN 25, 2024 11:24:52 AM"
"Building Condition Complaint","Building Services","38##","MAGUIRE","WARD 9","Citizen Mobile Apps","JAN 30, 2024 12:00:54 PM"
