"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Dead Animal Removal","Environmental Services","21##","DOMINION","WARD 10","Phone","FEB 26, 2024 08:57:08 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & RIVERDALE AVE","WARD 6","Phone","FEB 27, 2024 08:28:36 AM"
"Dead Animal Removal","Environmental Services","12##","PRINCE","WARD 2","Phone","FEB 14, 2024 09:36:48 AM"
"Dead Animal Removal","Environmental Services","12##","PRINCE","WARD 2","Citizen Mobile Apps","FEB 14, 2024 11:05:53 AM"
"Dead Animal Removal","Environmental Services","12##","PRINCE","WARD 2","Phone","FEB 14, 2024 11:18:02 AM"
"Dead Animal Removal","Environmental Services","12##","PRINCE","WARD 2","Citizen Mobile Apps","FEB 14, 2024 11:24:06 AM"
"Dead Animal Removal","Environmental Services","12##","PRINCE","WARD 2","Citizen Mobile Apps","FEB 14, 2024 06:43:25 PM"
"Dead Animal Removal","Environmental Services","13##","NIAGARA","WARD 4","Phone","JAN 05, 2024 08:28:08 AM"
"Dead Animal Removal","Environmental Services","10##","LAUZON","WARD 6","Phone","FEB 29, 2024 11:53:53 AM"
"Dead Animal Removal","Environmental Services","16##","DROUILLARD","WARD 5","Citizen Mobile Apps","JAN 26, 2024 09:04:22 AM"
"Dead Animal Removal","Environmental Services","2##","HALL","WARD 4","Citizen Mobile Apps","FEB 16, 2024 08:12:55 AM"
"Dead Animal Removal","Environmental Services","22##","DOUGALL","WARD 3","Phone","FEB 16, 2024 09:40:01 AM"
"Dead Animal Removal","Environmental Services","24##","MCDOUGALL","WARD 3","Phone","FEB 15, 2024 08:43:37 AM"
"Dead Animal Removal","Environmental Services","107##","MULBERRY","WARD 7","Phone","FEB 16, 2024 12:17:53 PM"
"Dead Animal Removal","Environmental Services"," ","MULBERRY RD & STILLMEADOW RD","WARD 7","Phone","FEB 16, 2024 12:56:23 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW RAMP E & HOWARD AVE","WARD 9","Phone","FEB 16, 2024 02:11:13 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW ON","WARD 10","Citizen Mobile Apps","FEB 19, 2024 09:54:31 PM"
"Dead Animal Removal","Environmental Services","7##","FELIX","WARD 2","Phone","JAN 10, 2024 12:54:25 PM"
"Dead Animal Removal","Environmental Services","8##","MOY","WARD 4","Phone","JAN 11, 2024 01:37:42 PM"
"Dead Animal Removal","Environmental Services"," ","MOY AVE & NIAGARA ST","WARD 4","Phone","JAN 11, 2024 01:45:45 PM"
"Dead Animal Removal","Environmental Services","22##","CABANA","WARD 1","E-Mail","JAN 11, 2024 02:01:51 PM"
"Dead Animal Removal","Environmental Services","39##","ACORN","WARD 9","Citizen Mobile Apps","JAN 24, 2024 10:06:35 AM"
"Dead Animal Removal","Environmental Services"," ","GEORGE AVE & WYANDOTTE ST E","WARD 5","Phone","JAN 03, 2024 09:11:02 AM"
"Dead Animal Removal","Environmental Services","28##","LLOYD GEORGE","WARD 8","Citizen Mobile Apps","FEB 06, 2024 04:29:34 PM"
"Dead Animal Removal","Environmental Services","42##","MASOTTI","WARD 9","Web Intake","FEB 07, 2024 10:50:56 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5","Phone","FEB 07, 2024 10:50:57 AM"
