"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Garbage Not Collected","Environmental Services","25##","CABANA","WARD 1","Phone","JAN 23, 2024 09:19:48 AM"
"Garbage Not Collected","Environmental Services","6##","RODFAM","WARD 1","Phone","JAN 23, 2024 01:44:56 PM"
"Garbage Not Collected","Environmental Services","38##","TULIP","WARD 9","Phone","JAN 22, 2024 10:04:38 AM"
"Garbage Not Collected","Environmental Services","35##","CHURCH","WARD 1","Phone","JAN 23, 2024 09:05:36 AM"
"Garbage Not Collected","Environmental Services","16##","ARMANDA","WARD 1","Phone","JAN 22, 2024 04:01:21 PM"
"Garbage Not Collected","Environmental Services","15##","GOYEAU","WARD 3","Phone","JAN 17, 2024 09:39:00 AM"
"Garbage Not Collected","Environmental Services","18##","MOY","WARD 4","Citizen Mobile Apps","JAN 17, 2024 12:54:32 PM"
"Garbage Not Collected","Environmental Services","19##","MANITOBA","WARD 10","E-Mail","JAN 03, 2024 08:57:02 AM"
"Garbage Not Collected","Environmental Services","6##","WINDSOR","WARD 3","Phone","JAN 03, 2024 01:29:00 PM"
"Garbage Not Collected","Environmental Services","45##","TUMBLEWEED","WARD 1","Phone","FEB 13, 2024 11:55:04 AM"
"Garbage Not Collected","Environmental Services","5##","GILES","WARD 3","Phone","FEB 13, 2024 01:40:19 PM"
"Garbage Not Collected","Environmental Services","2##","GROVE","WARD 3","Phone","JAN 04, 2024 08:59:26 AM"
"Garbage Not Collected","Environmental Services","8##","JANETTE","WARD 3","Phone","JAN 04, 2024 10:32:07 AM"
"Garbage Not Collected","Environmental Services","39##","ACORN","WARD 9","Phone","JAN 04, 2024 01:07:21 PM"
"Garbage Not Collected","Environmental Services","11##","LINCOLN","WARD 4","Citizen Mobile Apps","JAN 04, 2024 08:29:11 AM"
"Garbage Not Collected","Environmental Services","2##","GEORGE","WARD 5","Phone","JAN 04, 2024 08:45:19 AM"
