XCoord,YCoord,FID,NAME,ADDRESS
-83.04767470,42.31830334,0,Legacy,620 Riverside Dr W
-83.07070543,42.30867351,1,Assumption,2730 University Ave W
-82.97181077,42.25297997,2,Captain John Wilson,3950 Ducharme St
-83.04200738,42.31969233,3,Dieppe Gardens,70 Riverside Dr W
-82.96090561,42.32045619,4,Esdras,1191 Esdras Ave
-82.95522876,42.32948946,5,Riverside Baseball,6755 Wyandotte St E
-83.04461855,42.31754556,6,Vision Corridor,421 Riverside Dr W
-83.02560785,42.32350057,7,Great Western,1388 Riverside Dr E
-83.03143889,42.31658321,8,Fred Thomas,400 Wyandotte St E
-83.05075242,42.25804866,9,Spring Garden Natural Area,2095 Spring Garden Rd
-83.04315556,42.26118377,10,Fazio,3012 Fazio Dr
-82.98187714,42.24239283,11,Stoneybrook,1059 North Talbot Rd
-83.09022294,42.26861393,12,Black Oak Heritage,599 Broadway St
-82.99200688,42.24279999,13,Lake Como,4500 Southwood Lakes Blvd
-82.98264072,42.26783479,14,Shinglecreek,3699 Shinglecreek Crt
-82.98622548,42.26935123,15,Devonshire Heights,1697 Calderwood Ave
-83.08593820,42.26037636,16,Ojibway Parkway Trail,4900 Ojibway Pky
-82.91240226,42.32077055,17,Firgrove Boulevard,9850 Firgrove Blvd
-82.91719332,42.29139319,18,Little River Dragonfly,7798 Twin Oaks Dr
-82.91357172,42.32041957,19,Magnolia,1703 Magnolia Ave
-83.02842401,42.28318915,20,Virginia,2197 South Cameron Blvd
-82.97223799,42.28686600,21,Parkwood Woodlot,3017 Temple Dr
-82.92419713,42.29647020,22,Derwent,7911 Forest Glade Dr
-82.92406401,42.33397039,23,Martinique,536 Martinique Ave
-82.93099470,42.30877674,24,Hawthorne,7645 Hawthorne Dr
-82.91176246,42.32485128,25,Morningstar,10741 Little River Blvd
-83.04647879,42.29079725,26,Superior,1700 Totten St
-83.06841614,42.31107984,27,Assumption North,2400 Riverside Dr W
